filePath,nWorkers,average
1MB.txt,1,67589
1MB.txt,2,45596
1MB.txt,3,42744
1MB.txt,4,39031
1MB.txt,5,34874
1MB.txt,6,30431
1MB.txt,7,29552
1MB.txt,8,30978
1MB.txt,9,30875
1MB.txt,10,37433
1MB.txt,11,37807
1MB.txt,12,34611
1MB.txt,13,33972
1MB.txt,14,37158
1MB.txt,15,37912
1MB.txt,16,44021
1MB.txt,17,53200
1MB.txt,18,49337
1MB.txt,19,49340
1MB.txt,20,54990
1MB.txt,21,47933
1MB.txt,22,48360
1MB.txt,23,52749
1MB.txt,24,52157
1MB.txt,25,55003
1MB.txt,26,57973
1MB.txt,27,54360
1MB.txt,28,56371
1MB.txt,29,60713
1MB.txt,30,59044
1MB.txt,31,55097
1MB.txt,32,61878
1MB.txt,33,68138
1MB.txt,34,63406
1MB.txt,35,63503
1MB.txt,36,66192
1MB.txt,37,66784
1MB.txt,38,67413
1MB.txt,39,74731
1MB.txt,40,73147
1MB.txt,41,68011
1MB.txt,42,71148
1MB.txt,43,65981
1MB.txt,44,80390
1MB.txt,45,74142
1MB.txt,46,73015
1MB.txt,47,80508
1MB.txt,48,77405
1MB.txt,49,76946
1MB.txt,50,78177
1MB.txt,51,81994
1MB.txt,52,80775
1MB.txt,53,83193
1MB.txt,54,86007
1MB.txt,55,89550
1MB.txt,56,92499
1MB.txt,57,88847
1MB.txt,58,90181
1MB.txt,59,90005
1MB.txt,60,95561
1MB.txt,61,90025
1MB.txt,62,101135
1MB.txt,63,104737
1MB.txt,64,92828
10MB.txt,1,733515
10MB.txt,2,469948
10MB.txt,3,331650
10MB.txt,4,283153
10MB.txt,5,256158
10MB.txt,6,235855
10MB.txt,7,226140
10MB.txt,8,216155
10MB.txt,9,259060
10MB.txt,10,233408
10MB.txt,11,208769
10MB.txt,12,192461
10MB.txt,13,191499
10MB.txt,14,188016
10MB.txt,15,188898
10MB.txt,16,181707
10MB.txt,17,237758
10MB.txt,18,221495
10MB.txt,19,214221
10MB.txt,20,213628
10MB.txt,21,208001
10MB.txt,22,203834
10MB.txt,23,194844
10MB.txt,24,189833
10MB.txt,25,184383
10MB.txt,26,178980
10MB.txt,27,181522
10MB.txt,28,177126
10MB.txt,29,168037
10MB.txt,30,185470
10MB.txt,31,178031
10MB.txt,32,171026
10MB.txt,33,204408
10MB.txt,34,222587
10MB.txt,35,230155
10MB.txt,36,238924
10MB.txt,37,209133
10MB.txt,38,228031
10MB.txt,39,226436
10MB.txt,40,220268
10MB.txt,41,219606
10MB.txt,42,217648
10MB.txt,43,221104
10MB.txt,44,211856
10MB.txt,45,215740
10MB.txt,46,215940
10MB.txt,47,209218
10MB.txt,48,216944
10MB.txt,49,216012
10MB.txt,50,215816
10MB.txt,51,211298
10MB.txt,52,202816
10MB.txt,53,206921
10MB.txt,54,211971
10MB.txt,55,216680
10MB.txt,56,204969
10MB.txt,57,205107
10MB.txt,58,199065
10MB.txt,59,199706
10MB.txt,60,205555
10MB.txt,61,203277
10MB.txt,62,206986
10MB.txt,63,205723
10MB.txt,64,210270
100MB.txt,1,7234936
100MB.txt,2,5095078
100MB.txt,3,3604901
100MB.txt,4,3273931
100MB.txt,5,2856975
100MB.txt,6,2548482
100MB.txt,7,2331126
100MB.txt,8,2165680
100MB.txt,9,2345885
100MB.txt,10,2251913
100MB.txt,11,2180960
100MB.txt,12,1985341
100MB.txt,13,1972151
100MB.txt,14,1857619
100MB.txt,15,1815182
100MB.txt,16,1796863
100MB.txt,17,2119560
100MB.txt,18,2047753
100MB.txt,19,1969664
100MB.txt,20,1997609
100MB.txt,21,1956552
100MB.txt,22,1888567
100MB.txt,23,1789231
100MB.txt,24,1725343
100MB.txt,25,1708483
100MB.txt,26,1665569
100MB.txt,27,1635433
100MB.txt,28,1640938
100MB.txt,29,1590832
100MB.txt,30,1613658
100MB.txt,31,1644454
100MB.txt,32,1603537
100MB.txt,33,1918240
100MB.txt,34,1910058
100MB.txt,35,1862131
100MB.txt,36,1838999
100MB.txt,37,1817973
100MB.txt,38,1837136
100MB.txt,39,1769581
100MB.txt,40,1918042
100MB.txt,41,2050885
100MB.txt,42,1728855
100MB.txt,43,1816546
100MB.txt,44,1771874
100MB.txt,45,1666834
100MB.txt,46,1650356
100MB.txt,47,1606346
100MB.txt,48,1707552
100MB.txt,49,1701653
100MB.txt,50,1613158
100MB.txt,51,1604624
100MB.txt,52,1623136
100MB.txt,53,1558917
100MB.txt,54,1668377
100MB.txt,55,1607639
100MB.txt,56,1551322
100MB.txt,57,1665385
100MB.txt,58,1610221
100MB.txt,59,1631987
100MB.txt,60,1566285
100MB.txt,61,1772005
100MB.txt,62,1646299
100MB.txt,63,1593378
100MB.txt,64,1760562
